,Year,Month,Carrier,Count,WEATHER_DELAY,Avg
238,2013,12,WN,8317,4763.0,0.5726824576169292
239,2013,12,YV,426,1484.0,3.483568075117371
240,2014,01,9E,0,0.0,0.0
241,2014,01,AA,2671,26625.0,9.968176712841633
242,2014,01,AS,471,1631.0,3.462845010615711
243,2014,01,B6,964,13078.0,13.566390041493776
244,2014,01,DL,5966,74559.0,12.497318136104592
245,2014,01,EV,1691,6959.0,4.11531638083974
246,2014,01,F9,982,1052.0,1.0712830957230142
247,2014,01,FL,775,770.0,0.9935483870967742
248,2014,01,MQ,2121,17164.0,8.092409240924093
249,2014,01,NK,0,0.0,0.0
250,2014,01,OO,1561,2227.0,1.4266495836002562
251,2014,01,UA,3979,19784.0,4.972103543603921
252,2014,01,US,3335,8213.0,2.4626686656671666
253,2014,01,VX,483,3292.0,6.815734989648033
254,2014,01,WN,6246,6071.0,0.9719820685238553
255,2014,01,YV,0,0.0,0.0
256,2014,02,9E,0,0.0,0.0
257,2014,02,AA,2181,10628.0,4.872994039431453
258,2014,02,AS,583,970.0,1.6638078902229845
259,2014,02,B6,981,4226.0,4.307849133537207
260,2014,02,DL,3947,28945.0,7.333417785659995
261,2014,02,EV,1713,2212.0,1.2913018096906013
262,2014,02,F9,872,525.0,0.6020642201834863
263,2014,02,FL,466,845.0,1.8133047210300428
264,2014,02,MQ,1601,5608.0,3.5028107432854467
265,2014,02,NK,0,0.0,0.0
266,2014,02,OO,1664,2242.0,1.3473557692307692
267,2014,02,UA,4424,10015.0,2.26378842676311
268,2014,02,US,3090,9100.0,2.9449838187702264
269,2014,02,VX,703,2780.0,3.9544807965860596
270,2014,02,WN,4744,7628.0,1.6079258010118045
271,2014,02,YV,0,0.0,0.0
272,2014,03,9E,0,0.0,0.0
273,2014,03,AA,1943,2801.0,1.4415851775604736
274,2014,03,AS,495,512.0,1.0343434343434343
275,2014,03,B6,775,683.0,0.8812903225806452
276,2014,03,DL,3850,4188.0,1.0877922077922078
277,2014,03,EV,1508,1760.0,1.16710875331565
278,2014,03,F9,685,180.0,0.26277372262773724
279,2014,03,FL,559,202.0,0.3613595706618962
280,2014,03,MQ,1516,2747.0,1.812005277044855
281,2014,03,NK,0,0.0,0.0
282,2014,03,OO,1578,1921.0,1.217363751584284
283,2014,03,UA,3470,3186.0,0.9181556195965418
284,2014,03,US,2963,2966.0,1.0010124873439081
285,2014,03,VX,395,1133.0,2.868354430379747
286,2014,03,WN,5675,3259.0,0.574273127753304
287,2014,03,YV,0,0.0,0.0
288,2014,04,9E,0,0.0,0.0
289,2014,04,AA,1794,1897.0,1.0574136008918618
290,2014,04,AS,428,74.0,0.17289719626168223
291,2014,04,B6,722,1279.0,1.7714681440443214
292,2014,04,DL,3766,9100.0,2.41635687732342
293,2014,04,EV,1266,1680.0,1.3270142180094786
294,2014,04,F9,573,540.0,0.9424083769633508
295,2014,04,FL,393,287.0,0.7302798982188295
296,2014,04,MQ,1136,2957.0,2.602992957746479
297,2014,04,NK,0,0.0,0.0
298,2014,04,OO,1367,1021.0,0.7468910021945867
299,2014,04,UA,2902,3525.0,1.2146795313576844
300,2014,04,US,2680,1458.0,0.5440298507462686
301,2014,04,VX,438,1516.0,3.461187214611872
302,2014,04,WN,5391,4467.0,0.8286032276015581
303,2014,04,YV,0,0.0,0.0
304,2014,05,9E,0,0.0,0.0
305,2014,05,AA,2565,6105.0,2.3801169590643276
306,2014,05,AS,519,381.0,0.7341040462427746
307,2014,05,B6,843,2101.0,2.4922894424673783
308,2014,05,DL,4131,8346.0,2.0203340595497457
